Year,Mon,Calls,Rate,Temp,Rain,Members
,August,21509,5.2939,63.8,0.51,384746
,September,22123,5.4709,59.1,2.31,388652
,October,21449,5.5049,54.6,3.12,392241
,November,23475,5.863,45.4,8.42,393115
,December,23529,6.1349,41,4.44,392631
1989,January,23327,7.5474,40.3,4.3,396975
,February,24050,7.8157,34.3,3.18,395186
,March,24010,7.139,43.2,6.57,397791
,April,19735,6.2637,52.5,2.39,397764
,May,20153,5.8332,55.3,2.83,399348
,June,19512,5.8077,62.4,1.3,401949
,July,19892,5.6713,62.9,0.83,404866
,August,20326,5.4977,63.5,1.53,405341
,September,19378,5.2989,60.9,0.32,407479
,October,21263,5.6028,51.9,3.44,405430
,November,21443,5.9143,46.2,7.24,412134
,December,23366,5,41.8,4.72,415342
1990,January,23836,6.1917,41.8,9.55,416255
,February,23336,6.3775,38.9,5.73,423001
,March,22003,5.7234,46.3,3.4,428559
,April,20155,4.7792,51.7,2.91,431429
,May,20070,4.5715,54.9,2.15,434675
,June,19588,4.3899,59.8,3.55,435864
,July,20804,4.2559,66.7,0.59,437969
,August,19644,3.9359,66.4,1.33,440565
,September,17424,3.9048,61.9,0.24,441936
,October,20833,4.4294,50.4,1.17,448595
,November,22490,5.1523,45.8,10.66,446291
,December,24861,5.5102,33.9,7.93,446455
1991,January,23441,6.8901,37.9,4.4,445392
,February,19205,7.0308,46.9,5.42,445787
,March,20386,6.7186,43.4,4.35,445746
,April,19988,6.128,49.1,5.69,446430
,May,19077,5.8146,54.3,2.12,450001
,June,19141,5.948,58.2,1.61,452303
,July,20883,5.9026,65.4,0.51,456551
,August,20709,5.7227,66,2.8,455747
,September,19647,5.6877,60.9,0.2,456764
,October,22013,6.2922,51,1.7,462340
,November,22375,7.0615,46.2,6.5,460492
,December,22727,7.437,42.4,3.45,465361
1992,January,22367,8.4513,43,7.26,465492
,February,21155,8.7699,46,3.59,466775
,March,21209,8.0728,48.9,1.47,467168
,April,19286,7.2392,52.7,4.35,464575
,May,19725,7.0461,58.3,0.6,459019
,June,20276,7.0478,63.6,1.84,463665
,July,20795,7.108,64.9,1.41,463775
,August,21126,6.7824,65,1.01,466230
